user_id,0,1,2,3,4,5,
2358483,4,11,5,45,1,2,
2358483,2,1,2,0,1,0,
2358483,2,1,0,4,7,13,
2358483,0,4,1,5,8,0,
2358483,1,4,17,1,5,1,
2358483,5,0,3,0,2,3,
2358483,1,3,8,8,3,5,
2358483,0,0,2,1,1,0,
2358483,1,5,4,0,1,2,
2358483,1,0,1,4,0,2,
2358483,1,1,3,1,4,3,
2358483,2,1,1,0,0,0,
2358483,1,1,1,9,1,8,
2358483,0,1,13,10,2,0,
2358483,6,3,1,3,0,1,
2358483,10,5,0,4,2,2,
2358483,2,4,6,2,1,0,
2358483,5,3,0,0,2,0,
2358483,0,1,2,3,1,0,
2358483,1,5,1,2,2,0,
2358483,4,7,3,0,0,0,
2358483,4,6,1,0,0,1,
2358483,3,0,15,5,3,5,
2358483,3,28,11,10,6,1,
2358483,2,4,19,3,5,6,
7021552,3,0,0,0,0,0,
1117597,1,6,2,7,0,0,
1117597,0,7,7,2,4,4,
1117597,0,6,2,5,6,9,
1117597,4,4,8,8,3,0,
1117597,1,1,4,1,1,3,
1117597,2,6,11,1,7,0,
1117597,5,1,1,1,2,4,
1117597,5,0,6,8,4,2,
1117597,2,0,3,1,4,5,
1117597,5,8,3,2,6,5,
1117597,16,17,18,15,8,9,
1117597,1,0,4,0,0,0,
1117597,2,4,1,0,1,10,
1117597,0,0,0,1,0,0,
1117597,1,1,1,1,0,0,
20148872,0,1,1,0,2,0,
47534937,0,0,0,0,0,0,
33237569,1,0,0,0,0,0,
33237569,0,4,0,0,0,0,
33237569,0,0,0,0,0,0,
33237569,0,0,0,1,0,0,
33237569,1,0,0,0,0,0,
33237569,0,0,0,0,0,0,
33237569,1,0,0,0,0,0,
33237569,1,1,3,1,0,2,
33237569,0,2,0,0,0,0,
33237569,0,0,0,1,0,0,
33237569,0,0,0,0,4,3,
33237569,0,0,0,0,0,0,
33237569,3,0,0,0,0,0,
33237569,1,14,1,0,0,0,
33237569,0,1,0,0,1,0,
33237569,0,2,0,0,0,0,
33237569,3,1,8,4,3,5,
33237569,25,6,7,4,0,0,
33237569,1,0,1,0,3,0,
33237569,0,4,4,1,0,0,
33237569,1,0,0,0,0,0,
33237569,0,0,0,4,3,1,
33237569,0,0,0,0,0,0,
33237569,0,5,11,2,0,1,
33237569,0,0,0,0,0,0,
33237569,0,7,0,1,0,0,
33237569,3,2,0,0,1,4,
33237569,3,1,1,0,0,3,
33237569,0,0,0,0,0,4,
33237569,2,0,0,0,0,1,
33237569,0,2,0,2,1,1,
33237569,0,0,0,0,1,0,
33237569,0,0,0,0,0,0,
33237569,0,1,0,0,0,0,
33237569,3,0,0,0,0,0,
33237569,1,0,1,0,1,2,
33237569,0,0,1,0,5,3,
33237569,2,4,1,0,0,3,
33237569,4,0,2,2,1,0,
39497902,0,0,8,6,2,10,
39497902,4,1,2,0,1,18,
39497902,1,1,0,0,2,6,
39497902,0,0,0,1,0,1,
39497902,0,4,1,1,0,1,
39497902,0,0,0,0,1,0,
39497902,0,0,0,0,0,1,
39497902,2,0,2,3,0,0,
39497902,1,5,0,1,0,0,
39497902,0,0,8,5,0,2,
39497902,0,0,1,0,0,0,
39497902,2,0,0,0,3,0,
39497902,0,8,0,0,3,1,
39497902,0,2,0,1,6,0,
39497902,17,1,12,0,0,0,
39497902,3,0,0,5,1,3,
