user_id,0,1,2,3,4,5,6,7,8,9,10,11,
9397454,0,0,0,0,0,0,0,0,0,0,0,0,
18707623,0,0,0,0,0,0,0,0,0,0,0,0,
18707623,0,0,0,0,0,0,0,0,0,0,0,0,
5024543,0,0,0,0,0,0,0,0,0,0,0,0,
16749003,0,0,0,0,0,0,0,0,0,1,0,0,
23654732,0,0,0,0,0,0,0,0,0,0,0,0,
23654732,0,0,0,0,0,0,0,0,0,0,0,0,
4209122,0,0,0,0,0,0,0,0,0,0,0,0,
595774,0,0,0,2,0,0,0,0,0,0,0,1,
595774,0,0,0,0,0,1,0,3,0,0,0,0,
7363758,0,0,0,0,0,0,0,0,0,0,0,0,
13761737,0,0,0,0,0,0,0,0,7,3,2,0,
2205288,0,0,0,0,0,0,0,4,4,0,0,0,
4522842,0,0,0,0,0,0,0,0,0,0,0,0,
24907857,0,0,0,0,0,0,0,0,0,0,0,0,
24907857,0,0,0,0,0,0,0,0,0,0,0,0,
12011058,0,0,0,0,0,0,0,0,0,0,0,0,
11030437,0,0,0,0,0,0,0,0,0,4,0,0,
6637618,0,0,0,0,0,0,0,0,0,0,0,0,
30043698,0,0,0,0,0,0,0,0,0,0,0,0,
1960721,0,4,0,0,4,0,0,0,0,0,0,0,
1960721,0,0,0,0,0,0,0,0,0,0,0,1,
1960721,0,0,0,0,0,0,1,0,0,0,0,0,
1960721,0,0,1,0,0,0,0,0,0,0,0,0,
6811562,7,5,10,7,1,4,2,1,1,7,7,2,
6811562,0,0,4,7,13,2,0,0,0,0,3,3,
6811562,1,5,3,2,8,5,3,3,0,0,5,2,
6811562,0,0,0,0,0,0,1,0,0,0,3,0,
6900999,0,2,17,2,5,5,3,9,0,0,0,5,
6900999,1,7,5,17,0,0,11,0,7,5,1,0,
6900999,5,2,2,9,0,0,0,1,7,0,2,2,
6900999,9,4,10,29,24,27,9,6,0,8,8,6,
6900999,12,3,1,0,0,1,1,4,4,3,15,17,
6900999,1,1,11,0,1,2,2,25,4,12,2,2,
51711739,16,0,0,0,0,0,0,0,1,1,0,0,
51711739,0,0,0,0,1,3,0,0,12,0,0,12,
51711739,0,0,0,0,0,0,0,0,0,0,0,0,
14976422,0,0,0,0,0,0,0,0,0,0,0,0,
2760084,0,0,0,0,0,0,0,0,0,0,0,0,
17152264,0,0,0,0,0,0,0,0,0,0,0,0,
4949354,0,0,0,0,0,0,0,0,0,0,0,0,
40995790,0,0,0,0,0,0,0,0,0,1,0,0,
40995790,0,0,0,0,0,0,0,0,0,2,0,0,
1721873,0,0,0,0,0,0,0,0,0,0,0,0,
1721873,0,0,0,0,0,0,0,0,0,0,0,0,
658597,0,0,0,0,0,0,0,0,3,1,0,0,
658597,0,0,0,0,0,5,0,0,9,1,0,0,
658597,0,0,0,0,0,0,3,0,0,0,2,0,
658597,0,0,0,0,0,0,0,0,0,0,5,0,
39497939,1,0,1,2,0,0,3,1,1,0,0,0,
39497939,0,0,3,2,2,2,1,0,3,0,0,4,
