user_id,0,1,2,3,4,5,6,7,8,9,10,11,
7363758,0,0,0,0,7,0,0,0,0,0,0,0,
13761737,0,0,16,0,0,0,0,0,8,49,12,0,
13761737,0,0,0,0,0,0,0,0,16,0,0,0,
2205288,0,0,0,0,1,0,0,4,0,1,0,0,
4522842,0,0,1,0,1,20,0,0,0,1,0,0,
4522842,0,0,0,0,0,0,0,0,1,0,1,20,
24907857,0,0,0,0,0,0,0,1,0,0,0,0,
24907857,15,0,0,0,2,0,0,0,0,0,0,0,
24907857,0,0,0,0,0,0,15,0,0,0,2,0,
12011058,0,0,0,0,0,0,0,0,22,16,1,1,
11030437,0,0,0,0,0,0,0,0,0,41,0,1,
6637618,0,0,0,0,0,5,0,0,0,1,8,0,
30043698,0,0,0,0,0,0,0,0,0,6,1,0,
1960721,0,90,6,0,32,0,1,5,3,0,8,0,
1960721,0,0,1,0,9,29,0,90,6,0,32,0,
1960721,0,0,14,0,48,9,0,0,1,0,9,29,
1960721,17,0,0,0,14,1,0,0,14,0,48,9,
1960721,0,0,0,0,1,0,17,0,0,0,14,1,
1960721,0,3,0,0,0,0,0,0,0,0,1,0,
1960721,0,0,4,0,0,0,0,3,0,0,0,0,
1960721,0,0,0,0,0,0,0,0,4,0,0,0,
6811562,104,61,35,21,2,2,4,1,13,51,35,6,
6811562,1,0,6,1,13,14,104,61,35,21,2,2,
6811562,2,0,6,60,54,4,1,0,6,1,13,14,
6811562,18,1,2,1,13,4,2,0,6,60,54,4,
6811562,6,6,30,2,30,65,18,1,2,1,13,4,
6811562,2,0,0,0,15,0,6,6,30,2,30,65,
6811562,0,0,0,0,0,0,2,0,0,0,15,0,
6900999,0,0,83,0,1,13,2,50,0,0,1,14,
6900999,17,5,11,16,0,1,0,0,83,0,1,13,
6900999,1,21,24,25,29,0,17,5,11,16,0,1,
6900999,0,0,44,0,6,6,1,21,24,25,29,0,
6900999,59,4,18,145,4,0,0,0,44,0,6,6,
6900999,42,28,2,24,36,11,59,4,18,145,4,0,
6900999,31,48,32,260,113,119,42,28,2,24,36,11,
6900999,4,8,13,23,100,100,31,48,32,260,113,119,
6900999,36,11,10,2,0,2,4,8,13,23,100,100,
6900999,7,138,19,121,4,7,36,11,10,2,0,2,
6900999,2,1,52,0,4,2,7,138,19,121,4,7,
6900999,0,0,0,0,0,6,2,1,52,0,4,2,
51711739,5,0,0,2,1,0,0,0,4,0,0,0,
51711739,1,0,21,0,0,60,5,0,0,2,1,0,
