user_id,start_day,end_day,
63862647,2020-08-22,2020-12-20,
19235986,2021-05-31,2021-09-28,
19235986,2021-01-31,2021-05-31,
78067366,2021-05-03,2021-08-31,
78067366,2021-01-03,2021-05-03,
1721873,2021-05-24,2021-09-21,
1721873,2021-01-24,2021-05-24,
12258001,2021-03-08,2021-07-06,
6748505,2021-05-10,2021-09-07,
18013205,2021-03-22,2021-07-20,
5621432,2021-05-17,2021-09-14,
1208791,2021-05-31,2021-09-28,
3833456,2021-04-05,2021-08-03,
5893101,2021-04-12,2021-08-10,
36420198,2021-05-17,2021-09-14,
41898282,2021-05-31,2021-09-28,
39283302,2021-05-31,2021-09-28,
