user_id,start_day,end_day,
56383189,2020-07-12,2020-08-11,
29286820,2020-07-12,2020-08-11,
6898958,2020-07-12,2020-08-11,
54710007,2020-07-12,2020-08-11,
1960721,2020-07-19,2020-08-18,
9089852,2020-07-19,2020-08-18,
41974238,2020-07-19,2020-08-18,
1483379,2020-07-19,2020-08-18,
14073228,2020-07-19,2020-08-18,
6811562,2020-07-26,2020-08-25,
64800904,2020-07-26,2020-08-25,
21218230,2020-07-26,2020-08-25,
5256797,2020-07-26,2020-08-25,
6900999,2020-08-02,2020-09-01,
18377705,2020-08-02,2020-09-01,
36984984,2020-08-02,2020-09-01,
4960573,2020-08-02,2020-09-01,
34381225,2020-08-02,2020-09-01,
51711739,2020-08-09,2020-09-08,
8537877,2020-08-09,2020-09-08,
36706320,2020-08-09,2020-09-08,
32929103,2020-08-09,2020-09-08,
14976422,2020-08-09,2020-09-08,
65613067,2020-08-09,2020-09-08,
28961913,2020-08-09,2020-09-08,
2760084,2020-08-16,2020-09-15,
32066272,2020-08-16,2020-09-15,
14957706,2020-08-16,2020-09-15,
18666312,2020-08-23,2020-09-22,
17152264,2020-08-23,2020-09-22,
4949354,2020-08-23,2020-09-22,
40492703,2020-08-23,2020-09-22,
50381091,2020-08-23,2020-09-22,
5381586,2020-08-30,2020-09-29,
5606641,2020-08-30,2020-09-29,
44024922,2020-08-30,2020-09-29,
4234426,2020-09-06,2020-10-06,
11130940,2020-09-06,2020-10-06,
9162393,2020-09-06,2020-10-06,
7009040,2020-09-13,2020-10-13,
16069726,2020-09-20,2020-10-20,
15631816,2020-09-20,2020-10-20,
646979,2020-09-20,2020-10-20,
2952415,2020-09-27,2020-10-27,
11449919,2020-09-27,2020-10-27,
60222230,2020-09-27,2020-10-27,
40995790,2020-10-04,2020-11-03,
1721873,2020-10-18,2020-11-17,
8223335,2020-10-18,2020-11-17,
6054368,2020-10-18,2020-11-17,
1315874,2020-10-18,2020-11-17,
4830598,2020-10-18,2020-11-17,
658597,2020-10-25,2020-11-24,
229382,2020-10-25,2020-11-24,
9584920,2020-10-25,2020-11-24,
20518204,2020-10-25,2020-11-24,
3229701,2020-10-25,2020-11-24,
23096288,2020-11-01,2020-12-01,
3862760,2020-11-01,2020-12-01,
73332801,2020-11-01,2020-12-01,
4461127,2020-11-01,2020-12-01,
39497939,2020-11-08,2020-12-08,
1400247,2020-11-08,2020-12-08,
8723081,2020-11-08,2020-12-08,
10137,2020-11-08,2020-12-08,
13346472,2020-11-08,2020-12-08,
34943494,2020-11-08,2020-12-08,
1181780,2020-11-08,2020-12-08,
13021787,2020-11-08,2020-12-08,
5640366,2020-11-08,2020-12-08,
45483159,2020-11-08,2020-12-08,
3478847,2020-11-15,2020-12-15,
8229875,2020-11-15,2020-12-15,
17488313,2020-11-15,2020-12-15,
1964655,2020-11-15,2020-12-15,
5201760,2020-11-15,2020-12-15,
8905380,2020-11-22,2020-12-22,
3169297,2020-11-22,2020-12-22,
9074114,2020-11-22,2020-12-22,
1208791,2020-11-29,2020-12-29,
156329,2020-11-29,2020-12-29,
5998549,2020-12-13,2021-01-12,
1926457,2020-12-13,2021-01-12,
689777,2020-12-13,2021-01-12,
34426707,2020-12-13,2021-01-12,
1437091,2020-12-13,2021-01-12,
58712524,2020-12-20,2021-01-19,
44194839,2020-12-20,2021-01-19,
13310865,2020-12-20,2021-01-19,
1506457,2020-12-20,2021-01-19,
595774,2021-01-03,2021-02-02,
26490000,2021-01-03,2021-02-02,
62301809,2021-01-03,2021-02-02,
814322,2021-01-03,2021-02-02,
20483530,2021-01-03,2021-02-02,
4831126,2021-01-03,2021-02-02,
5582151,2021-01-10,2021-02-09,
44871988,2021-01-10,2021-02-09,
70544002,2021-01-10,2021-02-09,
14967659,2021-01-10,2021-02-09,
2138022,2021-01-10,2021-02-09,
4030626,2021-01-10,2021-02-09,
31883449,2021-01-10,2021-02-09,
21954664,2021-01-24,2021-02-23,
7504908,2021-01-24,2021-02-23,
582622,2021-01-24,2021-02-23,
6055037,2021-01-31,2021-03-02,
5459654,2021-02-07,2021-03-09,
6751943,2021-02-07,2021-03-09,
9089427,2021-02-07,2021-03-09,
6035284,2021-02-14,2021-03-16,
3056077,2021-02-14,2021-03-16,
8772750,2021-02-14,2021-03-16,
7947032,2021-02-14,2021-03-16,
3887295,2021-02-21,2021-03-23,
10153090,2021-02-21,2021-03-23,
405346,2021-02-28,2021-03-30,
2577963,2021-02-28,2021-03-30,
75452261,2021-02-28,2021-03-30,
68928670,2021-02-28,2021-03-30,
64650227,2021-02-28,2021-03-30,
10538777,2021-02-28,2021-03-30,
75458630,2021-03-07,2021-04-06,
23654732,2021-03-14,2021-04-13,
34411681,2021-03-14,2021-04-13,
51693147,2021-03-14,2021-04-13,
1110151,2021-03-14,2021-04-13,
78946860,2021-03-14,2021-04-13,
229382,2021-03-21,2021-04-20,
7122670,2021-03-21,2021-04-20,
1218788,2021-03-21,2021-04-20,
61438563,2021-03-28,2021-04-27,
66029828,2021-03-28,2021-04-27,
14940119,2021-03-28,2021-04-27,
31962564,2021-04-04,2021-05-04,
2697643,2021-04-04,2021-05-04,
7288735,2021-04-04,2021-05-04,
4078815,2021-04-04,2021-05-04,
23346350,2021-04-11,2021-05-11,
36511035,2021-04-11,2021-05-11,
12632505,2021-04-11,2021-05-11,
852344,2021-04-11,2021-05-11,
41974238,2021-04-18,2021-05-18,
26368837,2021-04-18,2021-05-18,
13889811,2021-04-18,2021-05-18,
70274,2021-04-25,2021-05-25,
32664111,2021-04-25,2021-05-25,
5496913,2021-04-25,2021-05-25,
49496963,2021-04-25,2021-05-25,
12112853,2021-05-02,2021-06-01,
55128822,2021-05-09,2021-06-08,
2375438,2021-05-09,2021-06-08,
16749003,2021-05-16,2021-06-15,
26352322,2021-05-16,2021-06-15,
42586848,2021-05-23,2021-06-22,
4661021,2021-05-23,2021-06-22,
62267356,2021-05-30,2021-06-29,
73549313,2021-05-30,2021-06-29,
72725647,2021-05-30,2021-06-29,
26322808,2021-05-30,2021-06-29,
1618862,2021-06-06,2021-07-06,
4244169,2021-06-06,2021-07-06,
1447600,2021-06-06,2021-07-06,
7305591,2021-06-06,2021-07-06,
6514690,2021-06-13,2021-07-13,
2358483,2021-06-20,2021-07-20,
83957636,2021-06-20,2021-07-20,
3661031,2021-06-20,2021-07-20,
7021552,2021-06-27,2021-07-27,
18423941,2021-06-27,2021-07-27,
8529270,2021-07-04,2021-08-03,
1738501,2021-07-04,2021-08-03,
31857876,2021-07-04,2021-08-03,
18577894,2021-07-04,2021-08-03,
3430078,2021-07-04,2021-08-03,
595774,2021-07-18,2021-08-17,
1117597,2021-07-25,2021-08-24,
14278376,2021-07-25,2021-08-24,
39926682,2021-07-25,2021-08-24,
48736656,2021-07-25,2021-08-24,
62172029,2021-08-01,2021-08-31,
111569,2021-08-08,2021-09-07,
20148872,2021-08-08,2021-09-07,
10010084,2021-08-08,2021-09-07,
31883449,2021-08-15,2021-09-14,
47534937,2021-08-15,2021-09-14,
22475003,2021-08-15,2021-09-14,
1829149,2021-08-15,2021-09-14,
9003029,2021-08-15,2021-09-14,
5990809,2021-08-15,2021-09-14,
64722800,2021-08-15,2021-09-14,
2780574,2021-08-15,2021-09-14,
31981299,2021-08-15,2021-09-14,
45483159,2021-08-22,2021-09-21,
31962564,2021-08-29,2021-09-28,
3691722,2021-08-29,2021-09-28,
