user id,start day,end day,days,is_churner,
4810940,2018-12-25,2018-12-25,0,1,
6131304,2018-12-25,2018-12-25,0,1,
1834241,2018-12-25,2018-12-25,0,1,
13670774,2018-12-18,2019-01-01,14,1,
1140475,2019-01-01,2019-01-01,0,1,
19319576,2019-01-01,2019-01-01,0,1,
20505,2019-01-01,2019-01-01,0,1,
3998421,2019-01-01,2019-01-01,0,1,
26376831,2018-11-13,2019-01-08,56,1,
5228696,2019-01-08,2019-01-08,0,1,
5060473,2019-01-08,2019-01-08,0,1,
23472876,2018-10-02,2019-01-15,105,1,
360368,2018-10-23,2019-01-15,84,1,
33703663,2018-10-30,2019-01-15,77,1,
4744103,2018-12-25,2019-01-15,21,1,
6426942,2019-01-15,2019-01-15,0,1,
527045,2019-01-15,2019-01-22,7,1,
125752,2018-10-02,2019-01-22,112,1,
33389420,2018-10-23,2019-01-22,91,1,
13824347,2019-01-08,2019-01-22,14,1,
4303278,2019-01-08,2019-01-22,14,1,
79138,2019-01-15,2019-01-22,7,1,
4003232,2019-01-22,2019-01-22,0,1,
6734787,2019-01-22,2019-01-22,0,1,
45379526,2019-01-22,2019-01-22,0,1,
31025920,2019-01-22,2019-01-22,0,1,
3607110,2019-01-22,2019-01-29,7,1,
5720601,2018-11-27,2019-01-29,63,1,
41101284,2018-12-11,2019-01-29,49,1,
7774865,2019-01-01,2019-01-29,28,1,
1932850,2019-01-22,2019-01-29,7,1,
1513154,2019-01-22,2019-01-29,7,1,
14257524,2019-01-29,2019-01-29,0,1,
5129209,2019-01-29,2019-01-29,0,1,
10790901,2019-01-29,2019-01-29,0,1,
5275150,2019-01-29,2019-01-29,0,1,
15324401,2019-01-29,2019-01-29,0,1,
6625584,2019-02-05,2019-02-05,0,1,
5362577,2019-02-05,2019-02-05,0,1,
1438064,2019-02-05,2019-02-05,0,1,
1056276,2019-02-05,2019-02-05,0,1,
175190,2019-02-05,2019-02-05,0,1,
14027793,2019-02-05,2019-02-05,0,1,
2905978,2019-01-22,2019-02-12,21,1,
32715765,2018-12-25,2019-02-12,49,1,
935729,2019-02-05,2019-02-12,7,1,
45496051,2019-02-12,2019-02-12,0,1,
1596894,2019-02-12,2019-02-12,0,1,
2581884,2019-02-12,2019-02-12,0,1,
23628906,2019-02-12,2019-02-12,0,1,
10764342,2019-02-12,2019-02-12,0,1,
13010957,2018-11-13,2019-02-19,98,1,
39699237,2019-02-19,2019-02-19,0,1,
18537688,2019-02-19,2019-02-19,0,1,
4255480,2019-02-19,2019-02-19,0,1,
13829139,2019-02-19,2019-02-19,0,1,
18310116,2019-02-19,2019-02-19,0,1,
8158092,2019-02-19,2019-02-19,0,1,
1517953,2019-02-26,2019-02-26,0,1,
9121973,2019-02-26,2019-02-26,0,1,
22333506,2019-02-26,2019-02-26,0,1,
7827511,2019-02-26,2019-02-26,0,1,
47778022,2019-02-26,2019-02-26,0,1,
20671919,2019-02-26,2019-02-26,0,1,
6877858,2019-02-26,2019-02-26,0,1,
576258,2019-02-12,2019-03-05,21,1,
28987306,2019-02-19,2019-03-05,14,1,
186077,2019-03-05,2019-03-05,0,1,
19519104,2019-03-05,2019-03-05,0,1,
12484009,2019-03-05,2019-03-05,0,1,
22876734,2019-03-05,2019-03-05,0,1,
3502772,2019-03-05,2019-03-05,0,1,
83203,2019-03-05,2019-03-12,7,1,
47001255,2019-03-12,2019-03-12,0,1,
10157590,2019-03-12,2019-03-12,0,1,
3670355,2019-03-19,2019-03-19,0,1,
20353159,2019-02-12,2019-03-19,35,1,
8977093,2019-03-19,2019-03-19,0,1,
17800738,2019-03-19,2019-03-19,0,1,
20308031,2019-03-19,2019-03-19,0,1,
731464,2019-03-19,2019-03-19,0,1,
31461889,2019-03-19,2019-03-19,0,1,
3393189,2019-03-19,2019-03-19,0,1,
1269759,2019-03-05,2019-03-26,21,1,
9328179,2019-03-05,2019-03-26,21,1,
932276,2019-03-12,2019-03-26,14,1,
12770302,2019-03-12,2019-03-26,14,1,
37592763,2019-03-19,2019-03-26,7,1,
10164165,2019-03-19,2019-03-26,7,1,
954408,2019-03-19,2019-03-26,7,1,
14852278,2019-03-26,2019-03-26,0,1,
2092359,2019-03-26,2019-03-26,0,1,
1976289,2019-03-26,2019-03-26,0,1,
334761,2019-03-26,2019-03-26,0,1,
29240784,2019-03-26,2019-03-26,0,1,
26208280,2019-03-26,2019-03-26,0,1,
26870601,2019-03-26,2019-03-26,0,1,
31779738,2019-03-26,2019-03-26,0,1,
137471,2019-03-19,2019-04-02,14,1,
8174335,2019-04-02,2019-04-02,0,1,
9649417,2019-01-01,2019-04-02,91,1,
634688,2019-02-12,2019-04-02,49,1,
21102285,2019-02-26,2019-04-02,35,1,
48511749,2019-03-19,2019-04-02,14,1,
35979974,2019-03-26,2019-04-02,7,1,
12857453,2019-04-02,2019-04-02,0,1,
4661742,2019-04-02,2019-04-02,0,1,
13660018,2019-04-02,2019-04-02,0,1,
7399324,2019-04-02,2019-04-02,0,1,
2512762,2019-04-02,2019-04-02,0,1,
5893101,2019-04-02,2019-04-02,0,1,
9767021,2019-04-02,2019-04-02,0,1,
48986773,2019-04-02,2019-04-02,0,1,
15629249,2019-04-02,2019-04-02,0,1,
12550953,2019-04-02,2019-04-02,0,1,
8599498,2019-04-02,2019-04-02,0,1,
438294,2019-04-02,2019-04-02,0,1,
523317,2019-04-09,2019-04-09,0,1,
18662115,2019-03-12,2019-04-09,28,1,
4297204,2019-04-02,2019-04-09,7,1,
8763901,2019-04-09,2019-04-09,0,1,
1048312,2019-04-09,2019-04-09,0,1,
31616381,2019-04-09,2019-04-09,0,1,
8062446,2019-04-09,2019-04-09,0,1,
25608746,2019-04-09,2019-04-09,0,1,
702580,2019-04-09,2019-04-09,0,1,
22566291,2019-04-09,2019-04-09,0,1,
40184199,2019-04-09,2019-04-09,0,1,
10644973,2019-03-05,2019-04-16,42,1,
11850258,2019-03-26,2019-04-16,21,1,
20372888,2019-04-16,2019-04-16,0,1,
30316669,2019-04-16,2019-04-16,0,1,
2000204,2019-04-16,2019-04-16,0,1,
33993993,2019-04-16,2019-04-16,0,1,
4715779,2019-04-16,2019-04-16,0,1,
228998,2019-04-23,2019-04-23,0,1,
595774,2019-04-23,2019-04-23,0,1,
14010766,2019-04-23,2019-04-23,0,1,
42042991,2019-01-29,2019-04-23,84,1,
1803970,2019-03-05,2019-04-23,49,1,
15104168,2019-04-16,2019-04-23,7,1,
8583850,2019-04-16,2019-04-23,7,1,
2759352,2019-04-16,2019-04-23,7,1,
49544637,2019-04-23,2019-04-23,0,1,
1497863,2019-04-23,2019-04-23,0,1,
39366519,2019-04-23,2019-04-23,0,1,
608782,2019-04-23,2019-04-23,0,1,
12861854,2019-04-23,2019-04-23,0,1,
17415294,2019-04-23,2019-04-23,0,1,
11355765,2019-03-05,2019-04-30,56,1,
559024,2019-03-26,2019-04-30,35,1,
2174869,2019-04-23,2019-04-30,7,1,
49700219,2019-04-30,2019-04-30,0,1,
3709715,2019-04-30,2019-04-30,0,1,
1733602,2019-04-30,2019-04-30,0,1,
9446801,2019-04-30,2019-04-30,0,1,
9658781,2019-04-30,2019-04-30,0,1,
9406431,2019-04-30,2019-04-30,0,1,
6451003,2019-04-30,2019-04-30,0,1,
32525285,2019-05-07,2019-05-07,0,1,
5435299,2019-04-02,2019-05-07,35,1,
1767795,2019-04-30,2019-05-07,7,1,
3305496,2019-05-07,2019-05-07,0,1,
4589605,2019-05-07,2019-05-07,0,1,
31693877,2019-05-07,2019-05-07,0,1,
946519,2019-05-07,2019-05-07,0,1,
2459423,2019-05-14,2019-05-14,0,1,
8517355,2019-02-26,2019-05-14,77,1,
5356490,2019-03-19,2019-05-14,56,1,
44790853,2019-04-16,2019-05-14,28,1,
1265289,2019-05-07,2019-05-14,7,1,
627997,2019-05-07,2019-05-14,7,1,
1245354,2019-05-14,2019-05-14,0,1,
13409732,2019-05-14,2019-05-14,0,1,
40573149,2019-05-14,2019-05-14,0,1,
29041421,2019-05-14,2019-05-14,0,1,
2052449,2019-05-14,2019-05-14,0,1,
42361326,2019-05-14,2019-05-14,0,1,
2433663,2019-05-14,2019-05-14,0,1,
12339610,2019-05-14,2019-05-14,0,1,
41833359,2019-05-14,2019-05-14,0,1,
3202998,2019-05-14,2019-05-14,0,1,
8253331,2019-05-14,2019-05-14,0,1,
7870348,2019-05-14,2019-05-14,0,1,
26606678,2019-05-14,2019-05-14,0,1,
22549127,2019-05-14,2019-05-21,7,1,
9002674,2019-05-14,2019-05-21,7,1,
3201565,2019-05-14,2019-05-21,7,1,
26931751,2019-05-21,2019-05-21,0,1,
34317609,2019-05-21,2019-05-21,0,1,
25806524,2019-05-21,2019-05-21,0,1,
17307,2019-05-21,2019-05-21,0,1,
9658447,2019-05-21,2019-05-21,0,1,
42849506,2019-05-21,2019-05-21,0,1,
13925796,2019-05-21,2019-05-21,0,1,
10338084,2019-05-21,2019-05-21,0,1,
34156395,2019-05-21,2019-05-21,0,1,
5129209,2019-05-28,2019-05-28,0,1,
5415928,2019-05-07,2019-05-28,21,1,
7820042,2019-05-21,2019-05-28,7,1,
3765399,2019-05-21,2019-05-28,7,1,
50109,2019-05-28,2019-05-28,0,1,
1222398,2019-05-28,2019-05-28,0,1,
25229749,2019-05-28,2019-05-28,0,1,
42188881,2019-05-28,2019-05-28,0,1,
6162841,2019-05-28,2019-05-28,0,1,
1291366,2019-05-28,2019-05-28,0,1,
138613,2019-05-28,2019-05-28,0,1,
44035866,2019-05-28,2019-05-28,0,1,
21269549,2019-04-02,2019-06-04,63,1,
25254389,2019-05-07,2019-06-04,28,1,
284564,2019-05-21,2019-06-04,14,1,
26019397,2019-05-28,2019-06-04,7,1,
18388960,2019-05-28,2019-06-04,7,1,
647076,2019-05-28,2019-06-04,7,1,
3915543,2019-06-04,2019-06-04,0,1,
8617665,2019-06-04,2019-06-04,0,1,
31993401,2019-06-04,2019-06-04,0,1,
3952273,2019-06-04,2019-06-04,0,1,
6477701,2019-06-04,2019-06-04,0,1,
19392467,2019-06-04,2019-06-04,0,1,
7215575,2019-06-04,2019-06-04,0,1,
